Justice,Lifetime,"44,090,566","44,090,566","44,157,644"
Justice,Name (feat. Tori Kelly),"17,714,916","17,714,916","17,742,285"
Justice,Red Eye (feat. TroyBoi),"42,725,265","42,725,265","42,848,337"
Justice,There She Go (feat. Lil Uzi Vert),"35,095,134","35,095,134","35,139,655"
Justice,Wish You Would (feat. Quavo),"17,632,362","17,632,362","17,656,393"
My Worlds - The Collection,Baby - Acoustic Version,"12,283,115","12,283,115","12,286,562"
My Worlds - The Collection,Down To Earth - Acoustic Version,"9,190,170","9,190,170","9,191,913"
My Worlds - The Collection,Favorite Girl (Live) - Acoustic Version,"6,838,896","6,838,896","6,841,071"
My Worlds - The Collection,Never Say Never - Acoustic Version,"7,859,067","7,859,067","7,860,711"
My Worlds - The Collection,One Less Lonely Girl - Acoustic,"10,386,376","10,386,376","10,389,877"
My Worlds - The Collection,One Time - Acoustic Version,"9,931,444","9,931,444","9,934,110"
My Worlds - The Collection,Somebody To Love - J Stax Remix,"1,756,719","1,756,719","1,757,010"
My Worlds - The Collection,Stuck In The Moment - Acoustic Version,"7,805,152","7,805,152","7,806,825"
My Worlds - The Collection,That Should Be Me - Acoustic Version,"10,478,702","10,478,702","10,481,434"
My Worlds - The Collection,U Smile - Acoustic Version,"7,142,790","7,142,790","7,144,214"
Work From Home,Intentions - Acoustic,"31,794,429","31,794,429","31,826,226"
JB6,Holy - Acoustic,"15,930,889","15,930,889","15,946,972"
JB6,Lonely - Acoustic,"8,618,645","8,618,645","8,628,728"
One Time,One Time (My Heart Edition),"3,706,325","3,706,325","3,707,484"
One Time,One Time - Instrumental,"5,394","5,394","5,395"
As Long As You Love Me,As Long As You Love Me - Audien Dubstep Edit,"552,486","552,486","552,579"
As Long As You Love Me,As Long As You Love Me - Audien Dubstep Mix,"831,047","831,047","831,191"
As Long As You Love Me,As Long As You Love Me - Audiobot Edit,"339,997","339,997","340,064"
As Long As You Love Me,As Long As You Love Me - Audiobot Instrumental,"179,506","179,506","179,564"
As Long As You Love Me,As Long As You Love Me - Audiobot Remix,"369,163","369,163","369,269"
As Long As You Love Me,As Long As You Love Me - Ferry Corsten Club Dub,"180,827","180,827","180,869"
